"File: DDELog(Excel:M7_DRG	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M7_DRG_19_7\M7.LOG"
"Date: Tue Jul 19 2022 14:45:8.837"
122.5140, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (30, 126), Size: (37, 38), Area: 1078]"
"Region 2: [Location: (227, 242), Size: (30, 33), Area: 770]"
"Region 3: [Location: (102, 306), Size: (21, 21), Area: 305]"
"Region 4: [Location: (0, 374), Size: (30, 28), Area: 656]"
"Region 5: [Location: (272, 398), Size: (27, 25), Area: 519]"
"Region 6: [Location: (274, 418), Size: (21, 21), Area: 305]"
"Region 7: [Location: (290, 422), Size: (29, 30), Area: 678]"
"Region 8: [Location: (142, 66), Size: (45, 47), Area: 1637]"
"Region 9: [Location: (163, 179), Size: (42, 48), Area: 1540]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg"
65.3200, 1739.8813, 4494.7477, 1684.1481, 3547.3532, 1633.2852, 2427.1541, 1737.1143, 4952.3765, 1749.0193, 5179.4990, 1733.5410, 4506.9705, 1692.9499, 3529.7684, 1610.0727, 1632.3109, 1610.0714, 1639.1636
66.3200, 1739.4453, 4482.6994, 1683.3610, 3533.7844, 1631.9541, 2429.5377, 1733.0823, 4933.8232, 1747.4971, 5163.9152, 1733.8164, 4502.4820, 1692.1844, 3534.4749, 1608.9352, 1630.7740, 1609.9481, 1639.3883
67.3200, 1740.9963, 4478.7941, 1681.7688, 3532.1351, 1631.3279, 2423.0262, 1734.9405, 4910.8232, 1748.2293, 5165.8728, 1734.1475, 4501.7541, 1691.1165, 3542.5265, 1610.2108, 1631.6316, 1610.7201, 1640.7052
68.3200, 1740.5751, 4473.7570, 1684.2104, 3528.6545, 1631.4328, 2421.3311, 1732.3765, 4899.6479, 1748.9961, 5154.3333, 1734.1574, 4488.4557, 1691.6962, 3539.2906, 1609.7434, 1632.1252, 1611.0000, 1639.6526
69.3200, 1740.4202, 4464.2625, 1681.7143, 3522.9325, 1631.3967, 2419.5148, 1732.1692, 4897.0915, 1748.3507, 5138.3738, 1729.8689, 4485.8721, 1690.5811, 3488.4882, 1608.5370, 1631.4252, 1609.3429, 1640.3175
70.3200, 1739.8942, 4459.5594, 1683.5156, 3522.5117, 1631.0721, 2416.8393, 1731.3369, 4883.5244, 1748.4663, 5143.6493, 1731.2492, 4480.5311, 1691.1003, 3502.3982, 1609.7654, 1631.3879, 1610.0078, 1640.4968
71.3200, 1741.0640, 4452.0872, 1683.8649, 3520.5026, 1631.9016, 2416.7148, 1730.4924, 4885.8232, 1747.3256, 5146.3622, 1732.9967, 4492.0885, 1690.4617, 3510.4056, 1609.0788, 1633.5070, 1610.4253, 1639.7831
72.3200, 1738.0529, 4447.5622, 1681.3844, 3514.0727, 1630.9508, 2416.3377, 1733.0488, 4866.7759, 1746.7938, 5136.9942, 1733.4721, 4490.0689, 1691.7434, 3517.3909, 1610.0305, 1632.3928, 1609.4708, 1639.9818
73.3200, 1740.2301, 4441.4425, 1683.2974, 3512.2169, 1631.3836, 2414.3541, 1729.1982, 4847.4253, 1746.9653, 5131.4894, 1730.3934, 4488.6098, 1688.7537, 3521.5678, 1609.1332, 1633.2309, 1609.9955, 1639.6669
74.3200, 1738.8776, 4438.0343, 1682.5519, 3510.2909, 1631.2754, 2408.0885, 1729.7012, 4845.3034, 1746.1618, 5125.9383, 1729.7574, 4480.6262, 1688.8289, 3523.5723, 1609.5211, 1631.4294, 1610.3994, 1638.4195
75.3200, 1739.9323, 4437.1939, 1680.7714, 3511.2688, 1632.6230, 2413.9180, 1731.3567, 4833.7713, 1745.9499, 5126.3237, 1730.5410, 4474.5148, 1689.9307, 3530.3864, 1609.2963, 1632.0483, 1610.4234, 1638.5604
76.3200, 1737.9527, 4438.1271, 1683.7013, 3508.5831, 1630.7836, 2408.4328, 1730.7576, 4824.2119, 1747.1811, 5121.4547, 1731.5541, 4486.4525, 1688.6003, 3529.2493, 1610.0654, 1631.4081, 1610.1188, 1638.4058
77.3200, 1739.3655, 4426.6521, 1683.6519, 3503.8571, 1629.6000, 2409.9738, 1727.9223, 4824.8338, 1747.0539, 5123.5896, 1731.1016, 4490.2689, 1686.9558, 3537.2566, 1609.2572, 1632.1998, 1610.8500, 1639.9636
78.3200, 1739.6800, 4419.7801, 1683.4221, 3498.5000, 1631.6328, 2408.6951, 1730.0137, 4807.2424, 1746.6821, 5113.2987, 1733.3246, 4482.6852, 1689.7566, 3533.6903, 1610.5363, 1631.9188, 1610.2500, 1638.4890
