"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
56.6010, 1731.9026, 6164.5436, 1634.3485, 3031.4495, 1664.0683, 3761.0910, 1781.1849, 6292.4604, 1749.1524, 4531.5498, 1733.8048, 6553.2739, 1675.2106, 4194.6957, 1701.8599, 4688.3222, 1591.6452, 1622.2833, 1591.2620, 1635.8050
57.6010, 1731.1418, 6165.4953, 1634.2197, 3029.9268, 1662.7788, 3759.6182, 1781.3083, 6290.5198, 1747.3751, 4535.6777, 1734.1452, 6547.1349, 1674.5649, 4190.9649, 1700.9681, 4683.9441, 1592.1653, 1622.2540, 1590.7431, 1633.5477
58.6010, 1732.4818, 6162.3010, 1633.5657, 3026.7576, 1662.6131, 3757.7990, 1782.0891, 6289.9657, 1749.8377, 4528.7462, 1735.3378, 6546.2872, 1676.8117, 4187.6213, 1702.7562, 4680.5406, 1590.3649, 1622.1694, 1591.7466, 1633.6813
59.6010, 1731.6761, 6159.1554, 1633.5631, 3031.3030, 1663.0202, 3756.3034, 1781.7627, 6286.2440, 1749.2894, 4532.0821, 1734.6784, 6543.6397, 1675.0840, 4182.7160, 1701.9180, 4679.0247, 1591.0897, 1620.6472, 1591.3759, 1633.4369
60.6010, 1732.8273, 6159.8937, 1634.4975, 3034.7424, 1662.3148, 3756.7004, 1781.5322, 6282.0941, 1749.5908, 4521.9432, 1735.2998, 6541.1897, 1674.6489, 4184.1170, 1702.9623, 4675.8723, 1591.4688, 1620.8931, 1591.6108, 1633.7895
61.6010, 1731.5580, 6157.3167, 1632.6919, 3031.2071, 1662.2794, 3755.5120, 1780.3151, 6278.9427, 1748.6095, 4521.6527, 1734.5557, 6537.1954, 1674.8872, 4180.9947, 1702.0247, 4676.0617, 1591.6230, 1622.3286, 1591.4274, 1633.3346
62.6010, 1732.3980, 6158.5326, 1633.0808, 3024.3763, 1662.9671, 3751.9140, 1780.9643, 6272.7040, 1749.7359, 4515.1165, 1733.9857, 6528.5739, 1675.5968, 4170.2606, 1701.9673, 4672.6147, 1591.2188, 1622.4133, 1592.2586, 1633.5713
63.6010, 1732.5868, 6157.1905, 1633.9949, 3030.8864, 1662.6574, 3748.5032, 1780.7617, 6270.5067, 1748.4835, 4508.7278, 1734.3830, 6525.2347, 1675.5957, 4164.9255, 1701.1103, 4662.8055, 1592.8196, 1622.2500, 1591.1735, 1634.5125
64.6010, 1731.4759, 6158.0114, 1633.4773, 3027.2146, 1662.8243, 3748.8685, 1780.9615, 6266.3083, 1749.1172, 4503.9648, 1733.5532, 6520.4466, 1674.4404, 4161.9936, 1700.6865, 4658.1241, 1593.0968, 1622.0454, 1591.1585, 1634.4867
65.6010, 1731.2807, 6153.8942, 1633.7727, 3025.2348, 1659.7977, 3746.5044, 1780.1245, 6262.4388, 1748.0689, 4496.6128, 1733.0964, 6514.5015, 1673.8287, 4153.8840, 1703.1647, 4655.7373, 1590.5000, 1621.3125, 1591.7109, 1633.0670
66.6010, 1730.5927, 6157.9678, 1633.9293, 3025.9798, 1661.9178, 3746.7080, 1779.8232, 6261.1701, 1748.7747, 4485.4678, 1733.3137, 6513.7641, 1674.6415, 4152.2309, 1701.4064, 4651.2533, 1591.4990, 1621.3841, 1590.3204, 1633.2556
